id,title,abstract
80527003,第二次嫁人,直到陈婶来发喜帖，让我参加婚礼，我才知道瑶瑶又要嫁人了。 怎么说又呢？因为瑶瑶这是第二次嫁人，第一次太匪夷所思、让人大跌眼镜了。 1. 瑶瑶跟我...
81359718,百万字日更完成后，是什么感觉呢,没感觉。 感觉水平差的还很远。 比起码字狂人来说，简直不算不什么。 但对于我们每天最多写千把字的写手来说，百万字的确是一个里碑的意义转折点。 前...
80119222,见了一个网友,前一阵加了一个陌生人，在回川前一个半月的样子。 在一个交友网站加的。 加上后，四十来天，也不过就聊了四次的样子，每一次都很短。 有一次是打招呼，...
82512356,三千字说废就废,我最近在靠写历史稿吃饭，昨天写了一篇三千字的，其实稿费只有三十五元，不过因我文笔一般，愣是写了一个多小时。当我把它发给老板之后，很快就被打回来了...
84081879,继女,我今年70岁，退休工资每个月6000元，带着50万存款住进儿子家被儿媳妇嫌弃。我搬回老家，继女的一句话让我热泪盈眶。 我是个退休教师，我的老伴生...
82871494,裙子,嫂子第一次进门穿的是长裙，洁白无瑕，翩若惊鸿。 然后，她的皮箱里拿出来的都是长裙，挂在衣橱里，五颜六色，特别漂亮。娘说，真好看，人漂亮，身材也好...
83484624,婚姻中，男人对于“生理需求”有多在乎？三个男人的实话实说,现实生活中，并不是每一份婚姻都充满了幸福，有些婚姻就会陷入挣扎的边缘，尤其是对于那些陷入分居的夫妻来讲，稍有不慎便会面临破碎的境遇。 其实，除了...
84183781,男人离婚后一般过得怎么样？,我今年45岁，有一儿一女，去年11月终于跟妻子离婚了。离婚后我简直不要太舒心啊！回家后再也不用面对妻子的冷嘲热讽，疑神疑鬼，连工作都感觉顺利了很...
82355658,结婚10年，出轨7年，更让我失去做妈妈的权利，要怎么放下？,今年38岁的李强和36岁的王梅结婚10年，感情不温不火，可就在1个星期前，他发现妻子竟然在床下藏了一瓶‘百草枯’，让这个大男人惊出一身冷汗。10...
82831899,夫妻玩笑,某女子无聊时在微信上给老公发了一条不成文的打油诗句，她想开一次玩笑试试在家务农的老公是什么反应，结果这玩笑开大了。内容如下: “老公老公，我在广...
82434032,20万外债,今天，我和表姐聊天的时候，突然她说我们欠她20万块钱还没有还，我听了这话，当时就蒙圈了，因为我根本不知道这件事情。 刚听到这话，我有点愤怒，我感...
81164324,当怀孕六个月的鲁豫被美国丈夫提出离婚时，立刻崩溃到大哭,当怀孕六个月的鲁豫被美国丈夫提出离婚时，立刻崩溃到大哭，哭过之后，心里还心存一点幻想，直到第二天，洋丈夫绝情而去，她才彻底的绝望。 遇见洋丈夫，...
82219255,让女人“上瘾”的男人，往往有3个特征，与钱财无关,成为一个能够让女人“上瘾”的男人，相信是很多男人梦寐以求的事情，可现实生活中，多是男人对女人“上瘾”，到底该如何做到这件事呢？ 其实，异性之间的...
78184318,论孤独,什么是孤独？你把孤独俩字儿拆开来看，孑，还有一个瓜，一只狗，一条虫。孑，本来就有着孤独的意思，人常言“茕茕孑立”，便意思着无依无靠。倘若我们用“...
79692108,为你，千千万万遍！,1、睡在哪里都是睡在夜里。——贾平凹《废都》 2、为你，千千万万遍。——胡赛尼《追风筝的人》 3、人非木石皆有情，不如不遇倾城色。——白居易《李...
81355418,男人最在乎的，是女人的三样东西,说起来，一个人和自己相处，那都并不是那么的容易，和另外的人相处，那就更是如此了。 毕竟就算再怎么相爱，也是那么不同的个人，毕竟两个人在一起，总是...
84526439,一只公鸡因不愿意参加斗鸡比赛，用刀将主人刺死，公鸡被警察拘留。,一只公鸡，由于不愿参加一场斗鸡比赛，用身上绑着的刀，刺中其主人，最终导致对方因失血过多死亡。 这起有些匪夷所思的事件，于2月23日发生在印度特伦...
83826404,郭晓东和程莉莎的婚姻暴露一个真相：好的两性关系，是睡出来的！,/1/ 逛某问答大论坛网上看到这么一个关于“睡觉”的两性问题：“结婚后的夫妻，都是怎样睡觉的？” 令我印象深刻的是一个刚结婚不久的女孩回答：“我...
84588490,情深•情浅（1）,情不知所起，一往而深。        —— 汤显祖 这世上，无论男人女人，没有谁不希望拥有一份至真至美的浪漫情缘。然而尽管人人期许，这一份美妙情...
84218092,疯狂的小姑子,妻子带了个女人回来后变得怪怪的，一次无意间听到她们俩的对话气得我去派出所报了警，这一举动竟牵扯出妻子的秘密。 我今年36岁，自己开了一家公司，生...
84770068,小姨,小姨去世了，一生为情所困，无儿无女孤独终老，临走，手里攥着的，还是那条百褶丝巾，心理念着的，还是那个忘恩负义的初恋。 小姨今年七十岁，曾经，为了...
84198110,张小龙：保持克制做产品,篇原创，持续日更，做产品经理的创业斜杠青年。 做产品经理的同学应该深有体会，任何一个互联网产品都有所谓的场景化设计。 用户在产品中存在不同场景的...
82911804,人人都可以教张小龙做产品,前几天微信十周年，微信之父张小龙进行了一番演讲，再一次向大家阐述了他非凡的产品观。然后昨天微信推出 8.0 版本，又引起了大家广泛的讨论。有太多...
83058766,养儿防老的意识拯救了婚姻,50岁男人拆迁分了200多万元，飘了。怎么看自己媳妇怎么丑，配不上自己，跟媳妇闹离婚。他上高中儿女的一个举动让这个男人瞬间打消了离婚的念头。都说...
84508755,红莲发现老公手机里的秘密以后。。。,红莲下班回到家，发现丈夫忘了带手机，她随手翻看一下，发现闺蜜丽丽发给丈夫的暖味短信。 短信的内容很简单：我喜欢你！丈夫的回复也是这四个字。红莲看...
83328985,小姑子的儿子和我长得一模一样，偷偷做亲子鉴定后，我彻底崩溃,我和老公是大学同学，他的父亲去世早，他和妹妹都是婆婆一手带大的，抱着穷养儿子富养女的观念，婆婆从小就对老公严加管教，对小姑子就相对宽容了太多。小...
